"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"822","2025_4","Hombre","UC3M",NA,5,6,22,3,2025-03-31 17:17:05,NA,"Segunda vez",NA,1,"14:06:20","Segundo intercambio","Camiseta/Polo/Top","Sudadera","Pantalón","Abrigo","Abrigo","2/04/2025 14:31:16","Camiseta/Polo/Top","Pantalón","Chaqueta","Camiseta/Polo/Top","Chaqueta","","","",""
"823","2025_4","Mujer","No soy de la universidad...",NA,5,6,17,1,2025-03-31 18:50:57,NA,"Primera vez",1,0,"16:25:02","Primer intercambio","Bolso","Jersey","Vestido","Pantalón","Pantalón","2/04/2025 17:06:46","Jersey","Jersey","Vestido","Camiseta/Polo/Top","Camiseta/Polo/Top","","","",""
"824","2025_4","Mujer","URJC",NA,0,0,0,0,2025-03-31 19:11:14,NA,"Varias veces",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"825","2025_4","Hombre","UC3M",NA,0,6,25,10,2025-03-31 22:14:48,NA,"Varias veces",NA,25,"","Primer intercambio","","","","","","2/04/2025 16:47:21","Camiseta/Polo/Top","Sudadera","Pantalón","Pantalón","Pantalón","","","",""
"826","2025_4","Hombre","No soy de la universidad...","Amigo organizador",3,2,13,10,2025-04-01 06:02:03,NA,"Primera vez",2,0,"16:28:43","Primer intercambio","Jersey","Jersey","Pantalón","","","2/04/2025 17:43:58","Pantalón","","","","","","","",""
"827","2025_4","Mujer","UC3M","Amigo organizador",1,2,3,0,2025-04-01 08:30:29,NA,"Primera vez",NA,0,"16:52:24","Primer intercambio","Pantalón","","","","","2/04/2025 17:14:13","Pantalón","","","","","","","",""
"828","2025_4","Mujer","UC3M","Amigos",0,0,0,0,2025-04-01 09:13:43,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"829","2025_4","Mujer","UC3M","Comunicación UC3M",0,0,0,0,2025-04-01 09:23:14,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"830","2025_4","Hombre","UC3M","Amigos",3,0,12,12,2025-04-01 10:21:54,NA,"Primera vez",NA,2,"15:51:40","Primer intercambio","Abrigo","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","","","","","","",""
"831","2025_4","Mujer","UC3M","Amigos",0,0,0,0,2025-04-01 12:10:14,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"832","2025_4","Hombre","No soy de la universidad...","Amigos",2,3,7,-1,2025-04-01 12:14:27,NA,"Primera vez",NA,0,"16:29:57","Primer intercambio","Pantalón","Jersey","","","","2/04/2025 17:43:17","Sudadera","Sudadera","","","","","","",""
"833","2025_4","Mujer","UC3M",NA,0,5,19,9,2025-04-01 12:44:21,NA,"Varias veces",NA,19,"","Tercer intercambio","","","","","","2/04/2025 15:14:27","Vestido","Camiseta/Polo/Top","Bolso","Camiseta/Polo/Top","","","","",""
"834","2025_4","Mujer","UC3M",NA,0,0,0,0,2025-04-01 12:56:25,NA,"Segunda vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"835","2025_4","Mujer","UC3M",NA,0,0,0,0,2025-04-01 13:53:51,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"836","2025_4","No binarie","UC3M",NA,4,4,13,4,2025-04-01 14:12:39,NA,"Varias veces",NA,0,"11:23:16","Primer intercambio","Camiseta/Polo/Top","Pantalón","Camiseta/Polo/Top","Chaqueta","","2/04/2025 11:29:53","Pantalón","Camiseta/Polo/Top","Sudadera","","","","","",""
"837","2025_4","Mujer","UC3M",NA,5,5,17,2,2025-04-01 14:27:01,NA,"Segunda vez",NA,0,"11:16:22","Primer intercambio","Pantalón","Pantalón","Pantalón","Jersey","Jersey","2/04/2025 11:56:37","Complementos","Chaqueta","Chaqueta","Camiseta/Polo/Top","","","","",""
